t=2026-07-02T10:54:48+0530 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-07-02T10:54:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-07-02T10:54:48+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-02T10:54:48+0530 lvl=info msg="open config file" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-02T10:54:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-02T10:54:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-02T10:54:48+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-02T10:54:48+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=7462c208b0a1 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=115641d9cdf6 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=d71f3c4b1864 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=3e7bee1008ef l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:03+0530 lvl=info msg="join connections" obj=join id=5b8798ccdd13 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:51988
t=2026-07-02T10:58:06+0530 lvl=info msg="join connections" obj=join id=e0fa7527ff72 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:51998
t=2026-07-02T10:58:09+0530 lvl=info msg="join connections" obj=join id=4fdc12eb642c l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:56804
t=2026-07-02T10:58:13+0530 lvl=info msg="join connections" obj=join id=8e15e0d3b8a3 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=c09bac580630 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:14+0530 lvl=info msg="join connections" obj=join id=22b941733743 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
